# Fitted Temperatures:
# Downstream (K): 1790.5	1.1
# Upstream (K): 1821.0	3.0
# 
# Datacolumns:
# wavelength(nm)	DS_data	DS_fit
6.832028852174261147e+02 3.135839711263419304e+03 3.125587641643212010e+03
6.834653975623045881e+02 3.148387292787782371e+03 3.133715095029388522e+03
6.837279081105089062e+02 3.149454274634863395e+03 3.141855045018766305e+03
6.839904168607612291e+02 3.141885736291546436e+03 3.150007490195059290e+03
6.842529238117846262e+02 3.129500654849385228e+03 3.158172429102645310e+03
6.845154289623026216e+02 3.123345820038729926e+03 3.166349860246582921e+03
6.847779323110377163e+02 3.172464407313823358e+03 3.174539782092619589e+03
6.850404338567133209e+02 3.149615083954243801e+03 3.182742193067246717e+03
6.853029335980521637e+02 3.168367076078749506e+03 3.190957091557703734e+03
6.855654315337774278e+02 3.142100279181911446e+03 3.199184475912019479e+03
6.858279276626119554e+02 3.170262329391428921e+03 3.207424344439030847e+03
6.860904219832792705e+02 3.210166890873658758e+03 3.215676695408443720e+03
6.863529144945023290e+02 3.158097023817711943e+03 3.223941527050817513e+03
6.866154051950042003e+02 3.174736897701148791e+03 3.232218837557612460e+03
6.868778940835082949e+02 3.227332979559753767e+03 3.240508625081221453e+03
6.871403811587376822e+02 3.219209888131228126e+03 3.248810887735000961e+03
6.874028664194153180e+02 3.226122162787926754e+03 3.257125623593292858e+03
6.876653498642646127e+02 3.236645878013197489e+03 3.265452830691461259e+03
6.879278314920090907e+02 3.254837040845127831e+03 3.273792507025913437e+03
6.881903113013718212e+02 3.252846056226110704e+03 3.282144650554139389e+03
6.884527892910763285e+02 3.235465330191284465e+03 3.290509259194770038e+03
6.887152654598454546e+02 3.232143657933585928e+03 3.298886330827496749e+03
6.889777398064028375e+02 3.276090058089785543e+03 3.307275863293257771e+03
6.892402123294718876e+02 3.284976520616721245e+03 3.315677854394177302e+03
6.895026830277759018e+02 3.269837950944804106e+03 3.324092301893590957e+03
6.897651519000384042e+02 3.272862032073235696e+03 3.332519203516119433e+03
6.900276189449829189e+02 3.312667247476706052e+03 3.340958556947686247e+03
6.902900841613327430e+02 3.301042597977742844e+03 3.349410359835513646e+03
6.905525475478112867e+02 3.309643840525292489e+03 3.357874609788217640e+03
6.908150091031420743e+02 3.345889131992206330e+03 3.366351304375794371e+03
6.910774688260489711e+02 3.307896754729926215e+03 3.374840441129673309e+03
6.913399267152550465e+02 3.339813517587151637e+03 3.383342017542719077e+03
6.916023827694842794e+02 3.331045031299561742e+03 3.391856031069329219e+03
6.918648369874599666e+02 3.311243522999693141e+03 3.400382479125391001e+03
6.921272893679058598e+02 3.306657524554038901e+03 3.408921359088374174e+03
6.923897399095457104e+02 3.360910893853427751e+03 3.417472668297330074e+03
6.926521886111030426e+02 3.366622453395524644e+03 3.426036404052942544e+03
6.929146354713014944e+02 3.366215466699668923e+03 3.434612563617542492e+03
6.931770804888649309e+02 3.436557534583556844e+03 3.443201144215182921e+03
6.934395236625167627e+02 3.418598317667463562e+03 3.451802143031611649e+03
6.937019649909811960e+02 3.419212032772995826e+03 3.460415557214380897e+03
6.939644044729817551e+02 3.447792618028156994e+03 3.469041383872808183e+03
6.942268421072421916e+02 3.435706365299432036e+03 3.477679620078054995e+03
6.944892778924864842e+02 3.458359458676196937e+03 3.486330262863173175e+03
6.947517118274384984e+02 3.434953719719290802e+03 3.494993309223082633e+03
6.950141439108217583e+02 3.492056337982177411e+03 3.503668756114678672e+03
6.952765741413605838e+02 3.479899392443549914e+03 3.512356600456813794e+03
