# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-1.082415994543798e-06), np.float64(0.17719322045398636), np.float64(610.0072640802747)]
# RMS residual: 0.02939 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.465    614.3063  Ne I   -0.0353
  35.536    616.3594  Ne I   +0.0567
  66.025    621.7281  Ne I   +0.0264
  94.055    626.6495  Ne I   -0.0141
 132.356    633.4428  Ne I   +0.0019
 159.964    638.2991  Ne I   -0.0251
 170.818    640.2246  Ne I   -0.0189
 229.702    650.6528  Ne I   +0.0010
 244.586    653.2882  Ne I   +0.0067
 282.187    659.8953  Ne I   -0.0273
 326.973    667.8276  Ne I   -0.0013
 348.877    671.7043  Ne I   +0.0101
 469.381    692.9467  Ne I   +0.0068
 527.793    703.2413  Ne I   +0.0142
 648.874    724.5167  Ne I   -0.0110
 759.217    743.8898  Ne I   -0.0216
 796.199    750.3869  Ar I   -0.0153
 813.803    753.5774  Ne I   +0.0866
 870.953    763.5106  Ar I   -0.0026
 921.997    772.4207  Ar I   -0.0381
#
# pixel  wavelength_nm  counts
  581   712.5911  7529.0
  582   712.7671  7552.0
  583   712.9430  7490.0
  584   713.1189  7505.0
  585   713.2949  7395.0
  586   713.4708  7421.0
  587   713.6467  7586.0
  588   713.8226  7588.0
  589   713.9986  7587.0
  590   714.1745  7520.0
  591   714.3504  7436.0
  592   714.5263  7410.0
  593   714.7022  7305.0
  594   714.8781  7358.0
  595   715.0540  7355.0
  596   715.2299  7438.0
  597   715.4058  7316.0
  598   715.5817  7435.0
  599   715.7576  7384.0
  600   715.9335  7227.0
  601   716.1094  7285.0
  602   716.2853  7349.0
  603   716.4612  7236.0
  604   716.6371  7220.0
  605   716.8130  7155.0
  606   716.9889  7313.0
  607   717.1647  7327.0
  608   717.3406  7406.0
  609   717.5165  7215.0
  610   717.6924  7365.0
  611   717.8682  7170.0
  612   718.0441  7043.0
  613   718.2200  6981.0
  614   718.3958  6977.0
  615   718.5717  6759.0
  616   718.7476  6941.0
  617   718.9234  6995.0
  618   719.0993  6789.0
  619   719.2751  6899.0
  620   719.4510  6955.0
  621   719.6268  7034.0
  622   719.8027  6873.0
  623   719.9785  6798.0
  624   720.1544  6804.0
  625   720.3302  6845.0
  626   720.5060  6761.0
  627   720.6819  6799.0
  628   720.8577  6865.0
  629   721.0336  6706.0
  630   721.2094  6761.0
  631   721.3852  6628.0
  632   721.5610  6740.0
  633   721.7369  6759.0
  634   721.9127  6792.0
  635   722.0885  6827.0
  636   722.2643  6755.0
  637   722.4401  6681.0
  638   722.6159  6669.0
  639   722.7918  6524.0
  640   722.9676  6632.0
  641   723.1434  6707.0
  642   723.3192  6864.0
  643   723.4950  6859.0
  644   723.6708  6678.0
  645   723.8466  6824.0
  646   724.0224  7322.0
  647   724.1982  8088.0
  648   724.3740  8627.0
  649   724.5497  8835.0
  650   724.7255  8333.0
  651   724.9013  7750.0
  652   725.0771  7413.0
  653   725.2529  7075.0
  654   725.4287  6836.0
  655   725.6044  6637.0
  656   725.7802  6591.0
  657   725.9560  6499.0
  658   726.1318  6475.0
  659   726.3075  6399.0
  660   726.4833  6592.0
  661   726.6591  6498.0
  662   726.8348  6410.0
  663   727.0106  6493.0
  664   727.1863  6500.0
  665   727.3621  6471.0
  666   727.5378  6604.0
  667   727.7136  6592.0
  668   727.8893  6549.0
  669   728.0651  6479.0
  670   728.2408  6473.0
  671   728.4166  6479.0
  672   728.5923  6408.0
  673   728.7680  6457.0
  674   728.9438  6533.0
  675   729.1195  6441.0
  676   729.2952  6322.0
  677   729.4710  6296.0
  678   729.6467  6279.0
  679   729.8224  6326.0
  680   729.9981  6374.0
  681   730.1739  6285.0
  682   730.3496  6327.0
  683   730.5253  6440.0
  684   730.7010  6444.0
  685   730.8767  6432.0
  686   731.0524  6395.0
  687   731.2281  6261.0
  688   731.4038  6220.0
  689   731.5795  6216.0
  690   731.7552  6312.0
  691   731.9309  6273.0
  692   732.1066  6262.0
  693   732.2823  6295.0
  694   732.4580  6321.0
  695   732.6337  6213.0
  696   732.8094  6279.0
  697   732.9851  6283.0
  698   733.1608  6381.0
  699   733.3365  6170.0
