# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-6.295521306749217e-09), np.float64(7.656898793276602e-06), np.float64(-0.16204872591505995), np.float64(815.8693669957287)]
# RMS residual: 0.25717 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.683    811.5311  Ar I   -0.3429
  35.623    810.3693  Ar I   +0.2632
  94.046    800.6157  Ar I   -0.0761
 132.655    794.8176  Ar I   +0.3248
 269.064    772.3761  Ar I   -0.3235
 326.972    763.5106  Ar I   +0.0281
 404.755    751.4652  Ar I   +0.3488
 410.779    750.3869  Ar I   +0.2282
 482.755    738.3980  Ar I   -0.3177
 492.195    737.2118  Ar I   -0.0023
 546.100    728.1349  He I   -0.4978
 595.905    720.6980  Ar I   +0.0075
 634.908    714.7042  Ar I   +0.2456
 684.214    706.5188  He I   -0.0425
 748.070    696.5431  Ar I   +0.2481
 922.784    667.8151  He I   -0.0915
#
# pixel  wavelength_nm  counts
  478   739.4720  8055.0
  479   739.3129  8086.0
  480   739.1539  8086.0
  481   738.9948  8065.0
  482   738.8358  8160.0
  483   738.6767  8209.0
  484   738.5177  8066.0
  485   738.3586  8001.0
  486   738.1995  8015.0
  487   738.0405  8003.0
  488   737.8814  8094.0
  489   737.7223  8141.0
  490   737.5633  8068.0
  491   737.4042  8065.0
  492   737.2451  8259.0
  493   737.0860  8165.0
  494   736.9269  8042.0
  495   736.7678  8020.0
  496   736.6087  7984.0
  497   736.4496  8007.0
  498   736.2905  7888.0
  499   736.1314  8074.0
  500   735.9723  8165.0
  501   735.8132  8158.0
  502   735.6541  8030.0
  503   735.4949  8099.0
  504   735.3358  8104.0
  505   735.1767  7976.0
  506   735.0175  8038.0
  507   734.8584  8111.0
  508   734.6993  8061.0
  509   734.5401  7867.0
  510   734.3810  7961.0
  511   734.2218  7833.0
  512   734.0627  7879.0
  513   733.9035  7960.0
  514   733.7443  8082.0
  515   733.5852  8058.0
  516   733.4260  7865.0
  517   733.2668  7916.0
  518   733.1076  7986.0
  519   732.9484  7841.0
  520   732.7893  8002.0
  521   732.6301  7990.0
  522   732.4709  8191.0
  523   732.3117  8239.0
  524   732.1524  8948.0
  525   731.9932  10032.0
  526   731.8340  11704.0
  527   731.6748  13103.0
  528   731.5156  13402.0
  529   731.3563  12462.0
  530   731.1971  10932.0
  531   731.0379  9701.0
  532   730.8786  8892.0
  533   730.7194  8409.0
  534   730.5601  8047.0
  535   730.4009  7949.0
  536   730.2416  7773.0
  537   730.0823  7858.0
  538   729.9231  7755.0
  539   729.7638  7775.0
  540   729.6045  7763.0
  541   729.4452  7788.0
  542   729.2859  7773.0
  543   729.1266  7781.0
  544   728.9673  7729.0
  545   728.8080  7778.0
  546   728.6487  7959.0
  547   728.4894  7832.0
  548   728.3300  7730.0
  549   728.1707  7692.0
  550   728.0114  7654.0
  551   727.8520  7648.0
  552   727.6927  7628.0
  553   727.5333  7762.0
  554   727.3740  7672.0
  555   727.2146  7637.0
  556   727.0552  7741.0
  557   726.8959  7700.0
  558   726.7365  7711.0
  559   726.5771  7662.0
  560   726.4177  7600.0
  561   726.2583  7581.0
  562   726.0989  7596.0
  563   725.9395  7701.0
  564   725.7801  7752.0
  565   725.6206  7653.0
  566   725.4612  7670.0
  567   725.3018  7558.0
  568   725.1423  7604.0
  569   724.9829  7641.0
  570   724.8234  7703.0
  571   724.6640  7741.0
  572   724.5045  7609.0
  573   724.3450  7585.0
  574   724.1856  7635.0
  575   724.0261  7427.0
  576   723.8666  7640.0
  577   723.7071  7700.0
  578   723.5476  7834.0
  579   723.3881  7709.0
  580   723.2286  7462.0
  581   723.0690  7529.0
  582   722.9095  7552.0
  583   722.7500  7490.0
  584   722.5904  7505.0
  585   722.4309  7395.0
  586   722.2713  7421.0
  587   722.1118  7586.0
  588   721.9522  7588.0
  589   721.7926  7587.0
  590   721.6330  7520.0
  591   721.4734  7436.0
  592   721.3138  7410.0
  593   721.1542  7305.0
  594   720.9946  7358.0
  595   720.8350  7355.0
  596   720.6754  7438.0
  597   720.5157  7316.0
  598   720.3561  7435.0
  599   720.1964  7384.0
  600   720.0368  7227.0
  601   719.8771  7285.0
  602   719.7174  7349.0
  603   719.5578  7236.0
  604   719.3981  7220.0
  605   719.2384  7155.0
  606   719.0787  7313.0
  607   718.9190  7327.0
  608   718.7593  7406.0
  609   718.5995  7215.0
  610   718.4398  7365.0
  611   718.2801  7170.0
  612   718.1203  7043.0
  613   717.9606  6981.0
  614   717.8008  6977.0
  615   717.6410  6759.0
  616   717.4813  6941.0
  617   717.3215  6995.0
  618   717.1617  6789.0
  619   717.0019  6899.0
  620   716.8421  6955.0
  621   716.6823  7034.0
  622   716.5224  6873.0
  623   716.3626  6798.0
  624   716.2027  6804.0
  625   716.0429  6845.0
  626   715.8830  6761.0
  627   715.7232  6799.0
  628   715.5633  6865.0
  629   715.4034  6706.0
  630   715.2435  6761.0
  631   715.0836  6628.0
  632   714.9237  6740.0
  633   714.7638  6759.0
  634   714.6039  6792.0
  635   714.4439  6827.0
  636   714.2840  6755.0
  637   714.1240  6681.0
  638   713.9641  6669.0
  639   713.8041  6524.0
  640   713.6441  6632.0
  641   713.4841  6707.0
  642   713.3241  6864.0
  643   713.1641  6859.0
  644   713.0041  6678.0
  645   712.8441  6824.0
  646   712.6841  7322.0
  647   712.5240  8088.0
  648   712.3640  8627.0
  649   712.2039  8835.0
  650   712.0438  8333.0
  651   711.8837  7750.0
  652   711.7237  7413.0
  653   711.5636  7075.0
  654   711.4035  6836.0
  655   711.2433  6637.0
  656   711.0832  6591.0
  657   710.9231  6499.0
  658   710.7629  6475.0
  659   710.6028  6399.0
  660   710.4426  6592.0
  661   710.2824  6498.0
  662   710.1223  6410.0
  663   709.9621  6493.0
  664   709.8019  6500.0
  665   709.6417  6471.0
  666   709.4814  6604.0
  667   709.3212  6592.0
  668   709.1610  6549.0
  669   709.0007  6479.0
  670   708.8404  6473.0
  671   708.6802  6479.0
  672   708.5199  6408.0
  673   708.3596  6457.0
  674   708.1993  6533.0
  675   708.0390  6441.0
  676   707.8787  6322.0
  677   707.7183  6296.0
  678   707.5580  6279.0
  679   707.3976  6326.0
  680   707.2373  6374.0
  681   707.0769  6285.0
  682   706.9165  6327.0
  683   706.7561  6440.0
  684   706.5957  6444.0
  685   706.4353  6432.0
  686   706.2749  6395.0
  687   706.1144  6261.0
  688   705.9540  6220.0
  689   705.7935  6216.0
  690   705.6331  6312.0
  691   705.4726  6273.0
  692   705.3121  6262.0
  693   705.1516  6295.0
  694   704.9911  6321.0
  695   704.8306  6213.0
  696   704.6700  6279.0
  697   704.5095  6283.0
  698   704.3489  6381.0
  699   704.1884  6170.0
  700   704.0278  6277.0
  701   703.8672  6216.0
  702   703.7066  6198.0
  703   703.5460  6218.0
  704   703.3854  6156.0
  705   703.2247  6199.0
  706   703.0641  6311.0
  707   702.9034  6410.0
  708   702.7427  6151.0
  709   702.5821  6162.0
  710   702.4214  6077.0
  711   702.2607  6178.0
  712   702.1000  6147.0
  713   701.9392  6135.0
  714   701.7785  6129.0
  715   701.6178  6097.0
  716   701.4570  6273.0
  717   701.2962  6153.0
  718   701.1354  6255.0
  719   700.9746  6192.0
  720   700.8138  6139.0
  721   700.6530  6153.0
  722   700.4922  6056.0
  723   700.3313  6141.0
  724   700.1705  6121.0
  725   700.0096  6250.0
  726   699.8487  6260.0
  727   699.6878  6391.0
  728   699.5269  6312.0
  729   699.3660  6179.0
  730   699.2051  6219.0
  731   699.0442  6216.0
  732   698.8832  6184.0
  733   698.7222  6092.0
  734   698.5613  6170.0
  735   698.4003  6144.0
  736   698.2393  6078.0
  737   698.0783  6194.0
  738   697.9172  6232.0
  739   697.7562  6123.0
  740   697.5951  5921.0
  741   697.4341  5923.0
  742   697.2730  6019.0
  743   697.1119  5909.0
  744   696.9508  6071.0
  745   696.7897  5956.0
  746   696.6285  6048.0
  747   696.4674  6095.0
  748   696.3063  6148.0
  749   696.1451  6108.0
  750   695.9839  6117.0
  751   695.8227  5941.0
  752   695.6615  6059.0
  753   695.5003  5926.0
